Agilidade  | Agonia Sombria [Sombras]
Agilidade  | Andorinhas de Bambu [marciais]
Agilidade  | Aniquilação [debuff]
Agilidade  | Apocalipse [Sombras]
Agilidade  | Armadilha do Relógio [debuff]
Agilidade  | Ataque Ilusório [Fogo]
Agilidade  | Ataque Orbital [Raio]
Agilidade  | Campo Eletrônico [Raio]
Agilidade  | Carícia da Morte [Sombras]
Agilidade  | Catástrofe [debuff]
Agilidade  | Cerco de Espinhos [debuff]
Agilidade  | Chama do Torvelinho [Fogo]
Agilidade  | Choque das Sombras [infiltracao]
Agilidade  | Chuva Carmesim [Sangue]
Agilidade  | Chuva de Espinhos Vermelhos [Sangue]
Agilidade  | Chuva de Meteoros [Fogo]
Agilidade  | Chuva de Sangue [debuff]
Agilidade  | Colheita Vermelha [Sangue]
Agilidade  | Combo Punitivo [marciais]
Agilidade  | Convergência [debuff]
Agilidade  | Corte Caótico [Sombras]
Agilidade  | Corte Rápido Final [debuff]
Agilidade  | Dança Contagiante [debuff]
Agilidade  | Dança da Perdição [marciais]
Agilidade  | Detonação de Choque [Raio]
Agilidade  | Divisão Espacial [marciais]
Agilidade  | Dominação: Enfraquecer [debuff]
Agilidade  | Erradicação [marciais]
Agilidade  | Erupção Vulcânica [Fogo]
Agilidade  | Erupção de Ferroadas [marciais]
Agilidade  | Escuridão Absoluta [debuff]
Agilidade  | Esmagador de Ossos [marciais]
Agilidade  | Espada Flamejante [Fogo]
Agilidade  | Espada do Infinito [marciais]
Agilidade  | Espinhos de Sangue [Sangue]
Agilidade  | Espírito Indomável [marciais]
Agilidade  | Esquife de Ossos [debuff]
Agilidade  | Estouro de Luz [Luz]
Agilidade  | Explosão Extrema [Fogo]
Agilidade  | Explosão de Fogo [Fogo]
Agilidade  | Explosão em Cadeia [Raio]
Agilidade  | Explosão em Massa [Fogo]
Agilidade  | Extermínio [Sombras]
Agilidade  | Extinção da Alma [marciais]
Agilidade  | Fechar a Porta [debuff]
Agilidade  | Fenda Profunda [Sombras]
Agilidade  | Filo da Alma [Sombras]
Agilidade  | Foice Mortal [marciais]
Agilidade  | Força Interminável [Sombras]
Agilidade  | Força de Choque [Raio]
Agilidade  | Fragmento do Espírito [Luz]
Agilidade  | Fumaça Cega [infiltracao]
Agilidade  | Fôlego Ardente [Fogo]
Agilidade  | Fúria das Lâminas Gêmeas [marciais]
Agilidade  | Fúria do Mordomo [debuff]
Agilidade  | Fúria do Vendaval [Vento]
Agilidade  | Giga Corte [marciais]
Agilidade  | Giro Espectral [Sombras]
Agilidade  | Golpe Supremo [Fogo]
Agilidade  | Grilhões da Alma [marciais]
Agilidade  | Grito Dissonante [debuff]
Agilidade  | Ilusão Cruel [Sombras]
Agilidade  | Impacto Arcano [Arcano]
Agilidade  | Impacto Grandioso [debuff]
Agilidade  | Impacto Meteórico [Fogo]
Agilidade  | Impacto Profundo [Fogo]
Agilidade  | Instinto Ladino [infiltracao]
Agilidade  | Investida Encadeada [Gelo]
Agilidade  | Investida Explosiva [Fogo]
Agilidade  | Ira do Rei [Água]
Agilidade  | Julgamento das Trevas [Sombras]
Agilidade  | Lampejo de Luz [marciais]
Agilidade  | Lança Espiritual [Fogo]
Agilidade  | Lança Ilusória [Fogo]
Agilidade  | Lança de Fogo [Fogo]
Agilidade  | Lanças Sombrias [Sombras]
Agilidade  | Latido Drenante [debuff]
Agilidade  | Lua Crescente [marciais]
Agilidade  | Luz do Paraíso [Luz]
Agilidade  | Lágrimas da Deusa [Raio]
Agilidade  | Lâminas de Ar [Vento]
Agilidade  | Martelo Explosivo [marciais]
Agilidade  | Mergulho Furioso [marciais]
Agilidade  | Nascimento das Lâminas [marciais]
Agilidade  | Névoa Sangrenta [debuff]
Agilidade  | Onda Explosiva [Fogo]
Agilidade  | Onda Lunática [marciais]
Agilidade  | Onda Sombria [Sombras]
Agilidade  | Onda de Choque [debuff]
Agilidade  | Oráculo [Luz]
Agilidade  | Pilar Sombrio [Sombras]
Agilidade  | Pisada Colossal [Sombras]
Agilidade  | Pulso Eletrônico [Raio]
Agilidade  | Punho Flamejante [Fogo]
Agilidade  | Queda Celestial [marciais]
Agilidade  | Queda Meteórica [Fogo]
Agilidade  | Raio Laser [Luz]
Agilidade  | Raios e Relâmpagos [Raio]
Agilidade  | Redemoinho Sombrio [Sombras]
Agilidade  | Redemoinho [debuff]
Agilidade  | Restrição de Luz [Luz]
Agilidade  | Rodamoinho [marciais]
Agilidade  | Rodamoinho de Balas [pontaria]
Agilidade  | Salto Certeiro [pontaria]
Agilidade  | Super Estrela [debuff]
Agilidade  | Tempestade Furiosa [debuff]
Agilidade  | Tiro Colossal [pontaria]
Agilidade  | Turbilhão de Chutes [marciais]
Agilidade  | Valsa da Imperatriz [debuff]
Agilidade  | Vendaval Reverso [Vento]
Agilidade  | Ventos Cruzados [Vento]
Agilidade  | Voragem [Sombras]
Agilidade  | Vórtice das Trevas [Sombras]
Defesa     | Chuva Gélida [Gelo]
Defesa     | Chuva Ácida [Veneno]
Defesa     | Congelar [Gelo]
Defesa     | Extinção [Gelo]
Defesa     | Fauce do Abismo [Sombras]
Defesa     | Fôlego Glacial [Gelo]
Defesa     | Fúria da Natureza [Terra]
Defesa     | Fúria em Espiral [Terra]
Defesa     | Lamento dos Mortos [necromancia]
Defesa     | Nevasca [Gelo]
Defesa     | Nuvem Mortal [debuff]
Defesa     | Petrificar [Terra]
Defesa     | Praga Definitiva [Veneno]
Defesa     | Sopro do Túmulo [necromancia]
Defesa     | Tempestade Congelante [Gelo]
Defesa     | Tremor [Terra]
Magia      | Crescente Sombrio [espaco-tempo]
Magia      | Peso das Trevas [espaco-tempo]
Magia      | Ruptura Dimensional [espaco-tempo]
Magia      | Vazio [espaco-tempo]
SEM TESTE  | Alvo Prioritário [suporte]
SEM TESTE  | Espada Vingadora [conjuracao]
SEM TESTE  | Império Sombrio [Sombras]
SEM TESTE  | Solo Consagrado [suporte]
SEM TESTE  | Zona de Paz [buff]
SEM TESTE  | Zona de Trevas [Sombras]
Sanidade   | Colapso Mental [projecao-mental]
Sanidade   | Repúdio aos Mortos [debuff]
